id,prompt,instruction_id_list,kwargs
1000,"Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*.","['punctuation:no_comma', 'detectable_format:number_highlighted_sections', 'length_constraints:number_words']","[{}, {'num_highlights': 3}, {'relation': 'at least', 'num_words': 300}]"
1001,"I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.",['punctuation:no_comma'],[{}]
1005,"Write a resume for a fresh high school graduate who is seeking their first job. Make sure to include at least 12 placeholder represented by square brackets, such as [address], [name].",['detectable_content:number_placeholders'],[{'num_placeholders': 12}]
1012,"Write an email to my boss telling him that I am quitting. The email must contain a title wrapped in double angular brackets, i.e. <<title>>.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","['combination:repeat_prompt', 'detectable_format:title']","[{'prompt_to_repeat': 'Write an email to my boss telling him that I am quitting. The email must contain a title wrapped in double angular brackets, i.e. <<title>>.'}, {}]"
1019,"Given the sentence ""Two young boys with toy guns and horns."" can you ask a question? Please ensure that your response is in English, and in all lowercase letters. No capital letters are allowed.",['change_case:english_lowercase'],[{}]
102,"Write a dialogue between two people, one is dressed up in a ball gown and the other is dressed down in sweats. The two are going to a nightly event. Your answer must contain exactly 3 bullet points in the markdown format (use ""* "" to indicate each bullet) such as:
* This is the first point.
* This is the second point.",['detectable_format:number_bullet_lists'],[{'num_bullets': 3}]
1021,"Write a 2 paragraph critique of the following sentence in all capital letters, no lowercase letters allowed: ""If the law is bad, you should not follow it"". Label each paragraph with PARAGRAPH X.","['change_case:english_capital', 'detectable_format:multiple_sections']","[{}, {'section_spliter': 'PARAGRAPH', 'num_sections': 2}]"
1040,"Write me a resume for Matthias Algiers. Use words with all capital letters to highlight key abilities, but make sure that words with all capital letters appear less than 10 times. Wrap the entire response with double quotation marks.","['change_case:capital_word_frequency', 'change_case:capital_word_frequency', 'startend:quotation']","[{'capital_relation': 'less than', 'capital_frequency': 10}, {'capital_relation': 'at least', 'capital_frequency': 1}, {}]"
1051,Write a letter to a friend in all lowercase letters ask them to go and vote.,['change_case:english_lowercase'],[{}]
1069,"Write a long email template that invites a group of participants to a meeting, with at least 500 words. The email must include the keywords ""correlated"" and ""experiencing"" and should not use any commas.","['keywords:existence', 'length_constraints:number_words', 'punctuation:no_comma']","[{'keywords': ['correlated', 'experiencing']}, {'relation': 'at least', 'num_words': 500}, {}]"
1072,Write a blog post with 400 or more words about the benefits of sleeping in a hammock.,['length_constraints:number_words'],"[{'relation': 'at least', 'num_words': 400}]"
1075,Can you help me make an advertisement for a new product? It's a diaper that's designed to be more comfortable for babies and I want the entire output in JSON format.,['detectable_format:json_format'],[{}]
1082,Write a story of exactly 2 paragraphs about a man who wakes up one day and realizes that he's inside a video game. Separate the paragraphs with the markdown divider: ***,['length_constraints:number_paragraphs'],[{'num_paragraphs': 2}]
1087,"Write a detailed review of the movie ""The Social Network"". Your entire response should be in English and all lower case (no capital letters whatsoever).",['change_case:english_lowercase'],[{}]
1092,Write a short blog post about a trip to Japan using less than 300 words.,['length_constraints:number_words'],"[{'relation': 'less than', 'num_words': 300}]"
1094,"Please provide the names of 5 famous moms in JSON format. Please, use any interesting or weird tone. Your entire output should just contain a JSON block, nothing else.",['detectable_format:json_format'],[{}]
1098,What is a name that people call God? Please give exactly two different responses. Separate the responses with 6 asterisk symbols: ******.,['combination:two_responses'],[{}]
